State,2020-03-29,2020-03-28,2020-03-27,2020-03-26,2020-03-25,2020-03-24,2020-03-23,2020-03-22,2020-03-21,2020-03-20,2020-03-19,2020-03-18,2020-03-17,2020-03-16,2020-03-15,2020-03-14,2020-03-13,2020-03-12,2020-03-11,2020-03-10,2020-03-09,2020-03-08,2020-03-07,2020-03-06,2020-03-05,2020-03-04,2020-03-03,2020-03-02,2020-03-01,2020-02-29,2020-02-28,2020-02-27,2020-02-26,2020-02-25,2020-02-24,2020-02-23,2020-02-22,2020-02-21,2020-02-20,2020-02-19,2020-02-18,2020-02-17,2020-02-16
Hawaii,-45,-43,-46,-53,-46,-43,-36,-31,-27,-31,-29,-26,-23,-19,-9,-4,-2,-1,-1,0,1,1,1,2,1,1,1,1,2,1,1,1,0,0,0,2,1,1,2,0,0,-3,-46
Idaho,-38,-31,-43,-44,-38,-36,-31,-27,-19,-26,-27,-24,-20,-8,-7,-3,0,1,2,3,6,6,2,2,2,3,3,5,7,3,2,1,3,3,4,7,2,3,3,2,2,0,-25
Illinois,-39,-35,-49,-50,-50,-50,-50,-40,-27,-35,-37,-35,-32,-23,-10,-1,-2,-2,-1,0,0,1,5,4,2,2,2,1,1,5,4,1,2,-1,1,3,5,6,2,2,1,0,-22
Indiana,-36,-35,-46,-46,-45,-40,-35,-30,-24,-28,-28,-25,-22,-16,-8,-2,-3,-2,0,0,0,2,4,3,2,2,2,2,3,3,2,1,-1,-1,2,2,4,4,2,1,2,1,-12
Iowa,-29,-23,-35,-37,-36,-36,-32,-26,-18,-26,-29,-26,-23,-17,-6,0,0,0,2,2,2,4,5,6,4,3,3,3,5,5,4,4,3,3,2,4,5,4,3,1,3,0,-8
Kansas,-30,-25,-37,-41,-39,-38,-32,-25,-17,-25,-29,-27,-25,-20,-10,-3,-4,-5,-2,-2,-1,1,4,6,5,3,4,4,6,4,6,6,2,3,2,4,3,5,6,0,3,-1,-14
Kentucky,-34,-29,-42,-41,-40,-38,-35,-30,-23,-27,-27,-24,-20,-16,-10,-4,-3,-2,-1,0,1,1,2,3,1,2,2,3,2,3,3,1,0,2,2,2,2,4,2,1,2,1,-12
Louisiana,-35,-33,-43,-43,-43,-42,-35,-29,-25,-28,-27,-24,-21,-14,-6,-2,-1,0,1,1,2,3,3,3,3,2,2,4,4,3,1,-3,-5,-15,-32,-12,1,0,-1,-1,1,1,-3
Maine,-31,-31,-42,-41,-41,-42,-37,-26,-24,-32,-32,-29,-25,-17,-3,0,-2,0,2,1,2,5,4,1,3,3,2,3,4,4,1,0,-3,2,3,4,5,-2,-11,-9,-12,-14,-32
Maryland,-39,-36,-48,-50,-52,-49,-46,-35,-27,-37,-39,-38,-34,-27,-15,-5,-3,-2,0,2,3,3,3,3,2,3,3,4,4,3,3,3,2,2,3,4,3,4,3,2,2,1,-32
Massachusetts,-42,-41,-55,-56,-57,-55,-50,-36,-30,-41,-44,-42,-40,-32,-15,-6,-10,-8,-3,-1,0,1,2,2,3,3,1,2,3,3,2,3,2,2,3,4,3,0,-9,-9,-10,-12,-41
Michigan,-43,-44,-58,-59,-58,-57,-45,-33,-27,-35,-34,-32,-29,-23,-10,0,-4,-3,0,0,0,3,6,4,1,1,1,2,3,6,4,-2,-9,-8,2,3,6,7,0,0,-1,-6,-13
Minnesota,-38,-37,-43,-43,-43,-42,-40,-32,-26,-34,-35,-32,-26,-18,-8,-2,-4,-5,-3,-2,-2,0,2,1,0,2,2,2,3,5,4,2,2,2,2,3,3,3,2,1,1,-2,-22
Mississippi,-30,-25,-34,-34,-34,-32,-30,-27,-20,-25,-23,-21,-19,-15,-7,-1,-8,-11,-10,-9,-9,-3,3,2,1,1,1,3,3,4,3,1,1,-1,-3,-1,1,2,0,-1,0,0,-15
Missouri,-32,-28,-35,-43,-41,-42,-36,-28,-19,-21,-27,-25,-21,-15,-6,0,6,4,2,2,1,3,6,12,12,5,5,4,5,6,10,14,4,3,2,3,5,8,16,3,4,0,-19
Montana,-37,-36,-36,-36,-36,-35,-31,-29,-27,-28,-28,-26,-23,-18,-9,-6,-4,-1,1,1,2,3,2,2,2,2,2,2,4,4,1,1,2,2,2,3,3,1,2,2,2,0,-23
Nebraska,-24,-21,-33,-35,-34,-33,-31,-23,-16,-26,-28,-25,-21,-16,-6,-5,-9,-8,-5,-4,-4,-1,1,0,1,2,2,3,4,5,3,3,2,2,2,3,4,1,2,1,1,1,-14
Nevada,-52,-50,-52,-51,-51,-50,-48,-48,-47,-45,-43,-37,-29,-22,-12,-6,-4,-2,-1,-1,-4,-3,0,1,2,1,2,2,1,-1,0,1,1,1,-1,2,-1,-2,1,1,1,-1,-28
New Hampshire,-38,-34,-42,-43,-43,-45,-40,-30,-25,-32,-33,-30,-26,-19,-7,-1,-2,-1,1,0,0,2,4,4,3,3,2,3,3,3,-2,-11,-11,-10,-10,-7,4,3,1,2,0,-2,-21
New Jersey,-44,-44,-55,-57,-57,-56,-55,-41,-31,-41,-43,-40,-36,-28,-14,-4,-7,-7,-4,-2,0,1,4,4,2,2,2,3,3,3,3,2,1,2,2,3,3,4,2,1,1,-2,-35
New Mexico,-34,-33,-43,-46,-45,-43,-37,-28,-24,-30,-33,-29,-26,-22,-10,-3,-5,-5,-1,1,1,2,3,4,4,2,3,3,4,4,3,4,2,3,3,3,1,1,4,1,3,1,-26
New York,-46,-45,-57,-57,-57,-56,-57,-39,-31,-40,-40,-37,-33,-27,-13,-4,-6,-5,-2,-1,0,2,4,4,3,3,3,4,4,4,4,2,1,3,3,3,3,2,-9,-9,-9,-11,-36
North Carolina,-35,-29,-38,-38,-36,-34,-33,-29,-21,-26,-27,-25,-21,-16,-11,-3,-2,-2,-1,0,0,0,1,2,2,2,2,2,3,2,2,2,2,3,3,3,2,-1,-17,-5,2,1,-10
North Dakota,-24,-22,-30,-32,-31,-31,-28,-23,-20,-24,-24,-20,-16,-13,-5,1,0,-1,1,2,3,3,4,4,3,2,2,3,4,4,5,4,2,2,2,4,3,4,4,1,1,-2,-21
Ohio,-35,-35,-47,-48,-48,-47,-40,-29,-25,-32,-32,-29,-26,-20,-10,-4,-4,-2,0,0,1,2,3,3,2,2,2,2,3,3,2,0,-2,1,2,3,3,3,3,2,2,0,-19
Oklahoma,-32,-27,-38,-38,-35,-34,-31,-27,-20,-27,-29,-26,-23,-20,-9,-3,-5,-2,3,3,2,2,3,3,3,3,3,3,3,4,4,3,3,3,2,1,0,3,3,2,3,-1,-19
Oregon,-38,-36,-47,-48,-48,-47,-42,-32,-26,-33,-35,-33,-30,-24,-13,-7,-6,-4,-1,0,1,1,2,2,1,1,1,2,3,3,3,2,1,2,2,3,2,3,3,1,1,-1,-25
Pennsylvania,-38,-38,-50,-51,-52,-51,-50,-35,-31,-39,-38,-35,-32,-25,-12,-4,-5,-4,-2,-1,0,1,2,2,1,1,2,2,3,3,3,2,1,2,2,3,3,4,3,1,2,0,-20
Rhode Island,-37,-35,-44,-45,-46,-44,-41,-30,-25,-33,-36,-34,-31,-24,-10,-4,-3,-2,-2,-1,1,3,3,3,3,2,1,2,4,4,3,3,2,2,3,4,4,1,-3,-5,-6,-10,-30
South Carolina,-34,-25,-35,-35,-34,-33,-30,-28,-19,-24,-24,-22,-17,-12,-5,0,-1,-1,0,1,2,2,3,3,1,0,1,3,4,3,3,1,2,2,2,3,3,3,-2,-1,0,0,-14
South Dakota,-25,-22,-29,-31,-30,-28,-24,-19,-14,-21,-25,-22,-19,-16,-9,-6,-3,-2,-1,0,1,2,2,4,4,2,2,3,5,4,2,1,0,0,-4,4,5,3,4,1,1,-2,-22
Tennessee,-34,-26,-39,-39,-38,-38,-34,-29,-18,-25,-25,-23,-20,-16,-9,-2,-4,-4,-1,0,0,1,4,3,0,1,-3,-4,2,4,4,1,2,3,3,2,2,4,0,0,3,0,-15
Texas,-36,-32,-44,-45,-44,-41,-37,-30,-23,-31,-32,-29,-27,-23,-12,-5,-11,-13,-10,-9,-9,-4,1,3,3,3,3,3,3,3,3,2,3,4,3,3,1,3,3,1,3,0,-17
Utah,-40,-28,-40,-44,-43,-41,-39,-34,-22,-32,-36,-41,-32,-24,-20,-9,-4,-2,0,1,1,1,2,4,3,2,1,1,2,1,4,4,2,2,3,3,2,4,5,2,2,0,-38
Vermont,-43,-41,-53,-53,-47,-47,-44,-33,-30,-36,-34,-32,-26,-16,-9,-4,-4,-1,0,-1,-1,2,3,2,3,3,-3,-9,-3,2,-3,-9,-8,-8,-8,-6,3,1,-3,-1,-3,-5,-18
Virginia,-36,-31,-44,-45,-46,-43,-40,-32,-25,-33,-35,-33,-29,-22,-14,-5,-6,-5,-2,0,2,1,1,1,2,2,0,0,4,2,2,2,2,2,3,5,2,1,-4,1,2,1,-26
Washington,-41,-41,-55,-56,-52,-49,-45,-34,-28,-38,-40,-39,-36,-29,-16,-9,-14,-15,-12,-11,-9,-5,-1,-4,-7,-4,-2,0,2,2,2,2,2,2,2,4,1,0,-1,-2,-2,-5,-34
West Virginia,-33,-30,-41,-41,-42,-38,-34,-28,-23,-25,-23,-21,-17,-14,-7,-3,-2,-1,0,0,0,2,3,2,1,2,2,2,3,3,1,-1,-2,2,2,2,3,3,2,1,1,0,-14
Wisconsin,-34,-31,-43,-44,-44,-41,-37,-29,-22,-30,-31,-29,-23,-15,-5,1,1,1,1,1,2,3,5,5,3,2,1,1,4,5,4,2,2,2,2,3,5,5,2,2,2,-1,-5
Wyoming,-29,-28,-35,-36,-35,-33,-31,-27,-22,-27,-29,-25,-20,-17,-7,-2,-3,-1,1,3,4,3,3,4,2,3,4,4,3,1,2,3,2,2,1,3,3,4,3,1,2,2,-25
