"GEIOD","NAME","median_age_2018","pct_male_2018","pct_female_2018","pct_white_only_2018","pct_black_only_2018","pct_american_indian.alaskan_native_only_2018","pct_asian_only_2018","pct_hawaiian_or_pacific_islander_only_2018","pct_some_other_race_alone_2018","pct_2_or_more_races_2018","pct_hispanic_or_latino_2018","pct_taking_Public_transportation_2018","pct_no_workers_in_household_2018","pct_1_workers_in_household_2018","pct_2_workers_in_household_2018","pct_3_or_more_workers_in_household_2018","pct_1.person_household_2018","pct_2.person_household_2018","pct_3.person_household_2018","pct_4.or.more.person_household_2018","pct_in_labor_force_employed_2018","pct_in_labor_force_unemployed_2018","pct_poverty_income_ratio_under_100","pct_poverty_income_ratio_100to200","pct_poverty_income_ratio_200andmore"
2050,"Bethel Census Area, Alaska",27.1,0.520011086474501,0.479988913525499,0.110088691796009,0.00659645232815965,0.827439024390244,0.0103658536585366,0.00016629711751663,0.00687361419068736,0.038470066518847,0.023780487804878,0.00454698551700909,0.244624835454147,0.398420359806933,0.28565160157964,0.0713032031592804,0.176612549363756,0.194164107064502,0.162790697674419,0.466432645897323,0.588169071742913,0.137038174188926,0.277676433701972,0.303671189146049,0.445331205107741
2185,"North Slope Borough, Alaska",34.8,0.624272736552006,0.375727263447994,0.316321322853935,0.00857405328161682,0.519853016229458,0.0559354904562621,0.0178626110033684,0.0100030621618863,0.0714504440134735,0.0211289170154129,0.0270972531551596,0.271108850457782,0.325025432349949,0.322482197355036,0.081383519837233,0.187182095625636,0.232451678535097,0.133265513733469,0.447100712105799,0.796028325123153,0.0765086206896552,0.0933691386077257,0.207808304069407,0.741892171039041
2220,"Sitka City and Borough, Alaska",38.8,0.511673151750973,0.488326848249027,0.647173266193637,0.011787594415198,0.127946898603799,0.072327763790341,0.000915541313801785,0.00514991989013504,0.134699015793088,0.0647745479514763,0.0101781170483461,0.210895815782084,0.423757371524853,0.297107554057849,0.0682392586352148,0.327155293456894,0.324908733501825,0.156978376860432,0.190957596180848,0.809839167455061,0.0336802270577105,0.07470189385083,0.137947159223755,0.794949731119944
2090,"Fairbanks North Star Borough, Alaska",31.1,0.540334962319248,0.459665037680752,0.755431346773303,0.0450864499814356,0.0725818590509067,0.030786830301145,0.00562953448466178,0.0123127251562923,0.0781712542522553,0.0797868604056075,0.00950743009526754,0.1731985868047,0.431298441650919,0.330868457809547,0.0646345137348342,0.247939090187057,0.344726535754389,0.16424287240161,0.243091501656944,0.73869493505601,0.0543777059995877,0.0812008802263439,0.183139473959971,0.772974955464739
2130,"Ketchikan Gateway Borough, Alaska",39.6,0.511445957693422,0.488554042306578,0.667849898580122,0.00746160533178789,0.145827296435816,0.0769342219646479,0.000362213851057664,0.0103593161402492,0.0912054476963199,0.0507823819182846,0.0357194089800602,0.248545147362493,0.363994743758213,0.313872723859583,0.0735873850197109,0.278580814717477,0.36024028533884,0.140229021963582,0.220949877980101,0.769719491728602,0.0545432749940062,0.105483989694516,0.174383511225616,0.745233713654766
2170,"Matanuska-Susitna Borough, Alaska",35,0.521070130673471,0.478929869326529,0.830501430449238,0.0108346864609913,0.0569086832134849,0.0138888888888889,0.0021843346478002,0.00467795561741282,0.0810040207221836,0.0477847367200186,0.00779380759481676,0.253538003173678,0.41588134330775,0.280417111953107,0.0501635415654652,0.232326176365815,0.346546196444185,0.154571067715923,0.266556559474076,0.655468366846493,0.0656857936897172,0.103365598081875,0.168980453679859,0.757284235660934
2180,"Nome Census Area, Alaska",28.1,0.527959697732997,0.472040302267002,0.161309823677582,0.00896725440806045,0.745188916876574,0.0161209068010076,0.00433249370277078,0.00231738035264484,0.0617632241813602,0.0254911838790932,0.00391170718077675,0.229913043478261,0.438608695652174,0.258782608695652,0.0726956521739131,0.192,0.210434782608696,0.171130434782609,0.426434782608696,0.632626728110599,0.125161290322581,0.231378268569643,0.321387644546307,0.522346077716429
2070,"Dillingham Census Area, Alaska",30.3,0.517185929648241,0.482814070351759,0.175879396984925,0.0134673366834171,0.721005025125628,0.0152763819095477,0.000603015075376884,0.00683417085427136,0.0669346733668342,0.0347738693467337,0.00909090909090909,0.259859154929577,0.433802816901408,0.247887323943662,0.0584507042253521,0.233098591549296,0.25,0.13943661971831,0.377464788732394,0.632152588555858,0.0933242506811989,0.172455819622182,0.328661385334146,0.550883607556368
2100,"Haines Borough, Alaska",44.9,0.530182684670373,0.469817315329627,0.810166799046863,0.00039714058776807,0.0861795075456712,0.0293884034948372,0.00158856235107228,0.00436854646544877,0.0679110405083399,0.0385226370135028,0.00234925606891151,0.333333333333333,0.243664717348928,0.398635477582846,0.0243664717348928,0.288499025341131,0.409356725146199,0.146198830409357,0.155945419103314,0.81226343679031,0.0370931112793338,0.0903590157321501,0.252117789431222,0.739411052843889
2282,"Yakutat City and Borough, Alaska",36.4,0.5355587808418,0.4644412191582,0.448476052249637,0.00290275761973875,0.283018867924528,0.0827285921625544,0.02322206095791,0.00725689404934688,0.152394775036284,0.0725689404934688,0.00297619047619048,0.262931034482759,0.452586206896552,0.232758620689655,0.0517241379310345,0.370689655172414,0.301724137931034,0.103448275862069,0.224137931034483,0.759708737864078,0.0509708737864078,0.0667634252539913,0.41944847605225,0.62844702467344
2110,"Juneau City and Borough, Alaska",38.1,0.510887720383545,0.489112279616455,0.686111970306217,0.0100525827404887,0.10924837612125,0.0715743891122796,0.00989792762140427,0.0128363748840087,0.100278379214352,0.0656665635632539,0.050414364640884,0.186247104863829,0.417219071959109,0.330085456433192,0.0664483667438703,0.295024359076751,0.348055267151186,0.13601150067886,0.220908873093203,0.792738569070964,0.0472769634016115,0.0790590899084877,0.0895311173307337,0.840089310984622
2164,"Lake and Peninsula Borough, Alaska",33.5,0.516363636363636,0.483636363636364,0.228363636363636,0.00654545454545455,0.673454545454545,0.0247272727272727,0.00363636363636364,0.00145454545454545,0.0618181818181818,0.0138181818181818,0.0034965034965035,0.312941176470588,0.409411764705882,0.237647058823529,0.04,0.265882352941176,0.341176470588235,0.122352941176471,0.270588235294118,0.630681818181818,0.126136363636364,0.158857979502196,0.302342606149341,0.584187408491947
