"cnty_fips","display_name","Value","theme_range"
32001,"""Churchill, (NV)""",1,"1 (1655)"
32003,"""Clark, (NV)""",19,"4+ (214)"
32005,"""Douglas, (NV)""",1,"1 (1655)"
32007,"""Elko, (NV)""",1,"1 (1655)"
32009,"""Esmeralda, (NV)""",0,"0 (742)"
32011,"""Eureka, (NV)""",0,"0 (742)"
32013,"""Humboldt, (NV)""",1,"1 (1655)"
32015,"""Lander, (NV)""",1,"1 (1655)"
32017,"""Lincoln, (NV)""",0,"0 (742)"
32019,"""Lyon, (NV)""",1,"1 (1655)"
32021,"""Mineral, (NV)""",1,"1 (1655)"
32023,"""Nye, (NV)""",1,"1 (1655)"
32027,"""Pershing, (NV)""",1,"1 (1655)"
32029,"""Storey, (NV)""",0,"0 (742)"
32031,"""Washoe, (NV)""",6,"4+ (214)"
32033,"""White Pine, (NV)""",1,"1 (1655)"
32510,"""Carson City, (NV)""",1,"1 (1655)"
35003,"""Catron, (NM)""",0,"0 (742)"
35006,"""Cibola, (NM)""",2,"2 - 3 (613)"
35013,"""Do̱a Ana, (NM)""",2,"2 - 3 (613)"
35017,"""Grant, (NM)""",1,"1 (1655)"
35023,"""Hidalgo, (NM)""",0,"0 (742)"
35029,"""Luna, (NM)""",1,"1 (1655)"
35031,"""McKinley, (NM)""",4,"4+ (214)"
35043,"""Sandoval, (NM)""",1,"1 (1655)"
35045,"""San Juan, (NM)""",2,"2 - 3 (613)"
35051,"""Sierra, (NM)""",1,"1 (1655)"
35053,"""Socorro, (NM)""",1,"1 (1655)"
35061,"""Valencia, (NM)""",0,"0 (742)"
41023,"""Grant, (OR)""",1,"1 (1655)"
41025,"""Harney, (OR)""",1,"1 (1655)"
41045,"""Malheur, (OR)""",1,"1 (1655)"
49001,"""Beaver, (UT)""",2,"2 - 3 (613)"
49003,"""Box Elder, (UT)""",2,"2 - 3 (613)"
49005,"""Cache, (UT)""",2,"2 - 3 (613)"
49007,"""Carbon, (UT)""",1,"1 (1655)"
49009,"""Daggett, (UT)""",0,"0 (742)"
49011,"""Davis, (UT)""",2,"2 - 3 (613)"
49013,"""Duchesne, (UT)""",1,"1 (1655)"
49015,"""Emery, (UT)""",0,"0 (742)"
49017,"""Garfield, (UT)""",1,"1 (1655)"
49019,"""Grand, (UT)""",1,"1 (1655)"
49021,"""Iron, (UT)""",1,"1 (1655)"
49023,"""Juab, (UT)""",1,"1 (1655)"
49025,"""Kane, (UT)""",1,"1 (1655)"
49027,"""Millard, (UT)""",2,"2 - 3 (613)"
49029,"""Morgan, (UT)""",0,"0 (742)"
