"Rank","RO","state_id","state_name","county_name","county_fips","IATA1","ICAO","Name","City.x","City.y","city","S/L","Hub","Latitude","Longitude","CY 18 Enplanements","CY 17 Enplanements","% Change","Altitude","Timezone","timezone","DST","Tz database","Type","Source"
7,"WP","CA","California","San Francisco",6075,"SFO","KSFO","San Francisco International Airport","San Francisco International Airport","San Francisco","San Francisco","P","L",37.6189994812012,-122.375,27790717,26900048,0.0331,13,-8,"America/Los_Angeles","A","America/Los_Angeles","airport","OurAirports"
36,"WP","CA","California","Santa Clara",6085,"SJC","KSJC","Norman Y. Mineta San Jose International Airport","San Jose","San Jose","San Jose","P","M",37.362598,-121.929001,7032851,6130878,0.1471,62,-8,"America/Los_Angeles","A","America/Los_Angeles","airport","OurAirports"
175,"WP","CA","California","San Luis Obispo",6079,"SBP","KSBP","San Luis County Regional Airport","San Luis Obispo","San Luis Obispo","San Luis Obispo","P","N",35.2368011475,-120.641998291,235570,197594,0.1922,212,-8,"America/Los_Angeles","A","America/Los_Angeles","airport","OurAirports"
512,"AL","AK","Alaska","Aleutians East",2013,"SDP","PASD","Sand Point Airport","Sand Point","Sand Point","Sand Point","CS","None",55.314998626709,-160.522994995117,3636,3998,-0.0905,21,-9,"America/Anchorage","A","America/Anchorage","airport","OurAirports"
79,"SO","FL","Florida","Seminole",12117,"SFB","KSFB","Orlando Sanford International Airport","Sanford","Sanford","Sanford","P","S",28.7775993347168,-81.2375030517578,1504888,1434990,0.0487,55,-5,"America/New_York","A","America/New_York","airport","OurAirports"
42,"WP","CA","California","Orange",6059,"SNA","KSNA","John Wayne Airport-Orange County Airport","Santa Ana","Santa Ana","Santa Ana","P","M",33.67570114,-117.8679962,5201642,5082716,0.0234,56,-8,"America/Los_Angeles","A","America/Los_Angeles","airport","OurAirports"
140,"WP","CA","California","Santa Barbara",6083,"SBA","KSBA","Santa Barbara Municipal Airport","Santa Barbara","Santa Barbara","Santa Barbara","P","N",34.42620087,-119.8399963,403745,356608,0.1322,13,-8,"America/Los_Angeles","A","America/Los_Angeles","airport","OurAirports"
223,"SW","NM","New Mexico","Santa Fe",35049,"SAF","KSAF","Santa Fe Municipal Airport","Santa Fe","Santa Fe","Santa Fe","P","N",35.617099762,-106.088996887,115787,103679,0.1168,6348,-7,"America/Denver","A","America/Denver","airport","OurAirports"
341,"WP","CA","California","Santa Barbara",6083,"SMX","KSMX","Santa Maria Pub/Capt G Allan Hancock Field","Santa Maria","Santa Maria","Santa Maria","P","N",34.89889908,-120.4570007,23008,24527,-0.0619,261,-8,"America/Los_Angeles","A","America/Los_Angeles","airport","OurAirports"
182,"WP","CA","California","Sonoma",6097,"STS","KSTS","Charles M. Schulz Sonoma County Airport","Santa Rosa","Santa Rosa","Santa Rosa","P","N",38.50899887,-122.8130035,217480,195296,0.1136,128,-8,"America/Los_Angeles","A","America/Los_Angeles","airport","OurAirports"
470,"EA","NY","New York","Franklin",36033,"SLK","KSLK","Adirondack Regional Airport","Saranac Lake","Saranac Lake","Saranac Lake","CS","None",44.3852996826172,-74.2061996459961,5273,4977,0.0595,1663,-5,"America/New_York","A","America/New_York","airport","OurAirports"
107,"SO","FL","Florida","Sarasota",12115,"SRQ","KSRQ","Sarasota Bradenton International Airport","Sarasota","Sarasota","Sarasota","P","S",27.3953990936279,-82.5543975830078,685001,590941,0.1592,30,-5,"America/New_York","A","America/New_York","airport","OurAirports"
83,"SO","GA","Georgia","Chatham",13051,"SAV","KSAV","Savannah Hilton Head International Airport","Savannah","Savannah","Savannah","P","S",32.12760162,-81.20210266,1356660,1192340,0.1378,50,-5,"America/New_York","A","America/New_York","airport","OurAirports"
501,"AL","AK","Alaska","Nome",2180,"SVA","PASA","Savoonga Airport","Savoonga","Savoonga","Savoonga","CS","None",63.6864013671875,-170.49299621582,3926,4188,-0.0626,53,-9,"America/Nome","A","America/Anchorage","airport","OurAirports"
228,"GL","IL","Illinois","Champaign",17019,"CMI","KCMI","University of Illinois Willard Airport","Savoy","Champaign","Champaign","P","N",40.03919983,-88.27809906,109878,100133,0.0973,755,-6,"America/Chicago","A","America/Chicago","airport","OurAirports"
485,"AL","AK","Alaska","Kusilvak",2158,"SCM","PACM","Scammon Bay Airport","Scammon Bay","Scammon Bay","Scammon Bay","CS","None",61.8452987671,-165.570999146,4417,4093,0.0792,14,-9,"America/Nome","A","America/Anchorage","airport","OurAirports"
