"FIPS","Name","State","Population","LandArea","TotalArea","CommutingByPublicTransportation","GDP","DayOfFirstCases","ConfirmedCasesDay25","lat","lon"
12103,"Pinellas County","FL",974996,709006650,1575045209,7663,52309434,49,2118,27.9,-82.74
12107,"Putnam County","FL",74521,1885167077,2141715354,123,2292484,50,168,29.61,-81.74
12109,"St. Johns County","FL",264672,1555841585,2127764853,143,8361323,54,1646,29.89,-81.38
12111,"St. Lucie County","FL",328297,1480655751,1781500251,431,9430777,50,483,27.38,-80.44
12113,"Santa Rosa County","FL",184313,2622050626,3040071421,64,4318852,44,139,30.7,-87.01
12115,"Sarasota County","FL",433742,1442282866,1878478609,1176,20110820,50,1075,27.18,-82.37
12117,"Seminole County","FL",471826,801344504,894424065,1997,22039179,49,1196,28.69,-81.13
12119,"Sumter County","FL",132420,1442915229,1501741110,61,2825373,50,627,28.71,-82.07
12127,"Volusia County","FL",553284,2852206495,3709996096,2189,18539379,47,679,29.06,-81.16
12131,"Walton County","FL",74071,2687739968,3210535343,96,2874403,50,238,30.63,-86.18
13015,"Bartow County","GA",107738,1190154672,1217522542,384,5074625,50,1951,34.24,-84.84
13049,"Charlton County","GA",13392,2020415648,2026378885,24,217428,50,27,30.78,-82.14
13057,"Cherokee County","GA",258773,1090599861,1125068258,645,7043650,48,842,34.24,-84.48
13059,"Clarke County","GA",128331,308774405,313473163,2802,7933106,51,704,33.95,-83.37
13063,"Clayton County","GA",292256,366930141,373919289,3772,19123786,51,1742,33.55,-84.41
13067,"Cobb County","GA",760141,879964563,892428654,4172,50574731,46,2160,33.94,-84.57
13073,"Columbia County","GA",156714,751293212,796687264,65,3780110,51,315,33.55,-82.25
13077,"Coweta County","GA",148509,1142008517,1154701608,419,4179418,50,499,33.35,-84.76
13089,"DeKalb County","GA",759297,693405943,702361487,28452,41799796,48,3331,33.77,-84.23
13095,"Dougherty County","GA",87956,851183464,866536313,565,4751513,54,8792,31.54,-84.21
13113,"Fayette County","GA",114421,503420082,516245263,393,4923301,48,454,33.41,-84.49
13115,"Floyd County","GA",98498,1320434486,1342818575,213,4294954,48,500,34.26,-85.21
13121,"Fulton County","GA",1063937,1364248547,1383923487,38134,167756496,42,2055,33.79,-84.47
13129,"Gordon County","GA",57963,921598697,927328499,145,2372510,50,239,34.51,-84.87
13135,"Gwinnett County","GA",936250,1115127417,1131207492,4929,48836949,48,2079,33.96,-84.02
13151,"Henry County","GA",234561,825296434,845586898,879,6190990,53,1702,33.45,-84.15
13177,"Lee County","GA",29992,921731013,937041696,0,620156,50,1001,31.82,-84.15
13185,"Lowndes County","GA",117406,1287622180,1322384140,161,5213433,50,351,30.83,-83.27
13217,"Newton County","GA",111744,709007143,723119329,214,2772088,54,641,33.54,-83.86
13233,"Polk County","GA",42613,803751986,808440342,65,1327289,45,116,34,-85.19
16001,"Ada County","ID",481587,2724688230,2746864407,901,27409991,53,3767,43.45,-116.24
16081,"Teton County","ID",12142,1163139950,1166008423,54,351128,53,63,43.76,-111.21
17019,"Champaign County","IL",209689,2579909092,2586008569,6502,11675933,54,617,40.14,-88.2
17027,"Clinton County","IL",37562,1227664369,1303299693,189,1310475,54,173,38.61,-89.42
17031,"Cook County","IL",5150233,2447370818,4233683862,475363,411671713,3,45,41.89,-87.65
17043,"DuPage County","IL",922921,848808625,871244101,34128,91380287,53,7166,41.85,-88.09
17089,"Kane County","IL",532403,1345134059,1357624646,6651,24667680,48,1173,41.94,-88.43
17097,"Lake County","IL",696535,1149803084,3543947336,15948,67701128,51,6160,42.33,-87.44
17111,"McHenry County","IL",307774,1562818741,1582688343,4269,11534353,48,637,42.32,-88.45
17163,"St. Clair County","IL",259686,1703509128,1745510480,4401,11942370,53,856,38.47,-89.93
17167,"Sangamon County","IL",194672,2248877362,2271455086,1470,11873339,54,341,39.76,-89.66
17195,"Whiteside County","IL",55175,1772158753,1803995322,82,2330100,54,163,41.75,-89.91
17201,"Winnebago County","IL",282572,1329234270,1344690117,1664,14817252,54,483,42.34,-89.16
17203,"Woodford County","IL",38459,1366946108,1405407474,77,1267496,53,81,40.79,-89.21
18001,"Adams County","IN",35777,878079470,880509424,0,1552083,48,26,40.75,-84.94
18011,"Boone County","IN",67843,1095336916,1096214071,58,4894814,48,204,40.05,-86.47
18057,"Hamilton County","IN",338011,1021307228,1042306734,199,18125906,53,2867,40.05,-86.02
18063,"Hendricks County","IN",170311,1053849359,1058730197,70,6703927,47,564,39.77,-86.51
18067,"Howard County","IN",82544,758866958,761253151,188,5973397,49,212,40.48,-86.11
18081,"Johnson County","IN",158167,829945889,833434707,288,5123431,49,1034,39.5,-86.09
18091,"LaPorte County","IN",109888,1549504338,1588334654,432,4399585,53,202,41.55,-86.74
18097,"Marion County","IN",964582,1026784675,1043791214,8441,94099662,45,4737,39.78,-86.14
18113,"Noble County","IN",47744,1064071373,1081145979,14,1918960,48,38,41.4,-85.42
18141,"St. Joseph County","IN",271826,1185918569,1194983090,1646,14101010,51,772,41.62,-86.29
18179,"Wells County","IN",28296,953341278,958937655,54,1127240,53,35,40.74,-85.21
19027,"Carroll County","IA",20165,1474835098,1476980447,35,1397311,51,26,42.04,-94.87
19049,"Dallas County","IA",93453,1523741156,1532253107,156,5612389,53,411,41.69,-94.04
19085,"Harrison County","IA",14049,1804814772,1817226045,17,491062,52,134,41.69,-95.83
19103,"Johnson County","IA",151140,1587640020,1613726689,4409,9588019,48,976,41.67,-91.59
19155,"Pottawattamie County","IA",93206,2461833316,2484161920,396,5113538,48,57,41.34,-95.54
20015,"Butler County","KS",66911,3702816810,3746488201,51,2699958,52,92,37.77,-96.84
20059,"Franklin County","KS",25544,1480855479,1494775650,12,899329,54,121,38.56,-95.28
20091,"Johnson County","KS",602401,1226647559,1242998643,1032,47112594,47,1116,38.88,-94.82
20209,"Wyandotte County","KS",165429,392744972,404540969,727,10781006,51,1278,39.12,-94.76
21017,"Bourbon County","KY",19788,750439351,755269128,43,776810,54,29,38.2,-84.21
21049,"Clark County","KY",36263,653935807,660851732,25,1394044,54,121,37.97,-84.14
21067,"Fayette County","KY",323152,734615998,739538113,3133,21172777,51,1337,38.04,-84.46
21097,"Harrison County","KY",18886,793603110,802585387,19,522115,48,261,38.44,-84.33
21111,"Jefferson County","KY",766757,985970624,1029996934,10337,56037562,48,1700,38.19,-85.66
21173,"Montgomery County","KY",28157,511132546,514988824,0,1009023,52,47,38.04,-83.91
21179,"Nelson County","KY",46233,1081354961,1098352345,0,1783571,53,46,37.8,-85.47
22001,"Acadia Parish","LA",62045,1696880710,1702799267,39,1751382,50,402,30.29,-92.41
22015,"Bossier Parish","LA",127039,2176379782,2246678615,227,6236360,53,1319,32.7,-93.62
22017,"Caddo Parish","LA",240204,2276157693,2425771366,1822,14385381,50,3622,32.58,-93.88
22051,"Jefferson Parish","LA",432493,765751903,1662866888,2229,24393551,48,12210,29.5,-90.04
22057,"Lafourche Parish","LA",97614,2767030478,3804547713,230,4394848,54,2610,29.49,-90.39
22071,"Orleans Parish","LA",390144,438820361,906099133,13212,26133518,49,25122,30.07,-89.94
22087,"St. Bernard Parish","LA",47244,977751815,5581954012,217,1422112,54,2507,29.92,-89.26
22089,"St. Charles Parish","LA",53100,719354044,1028008070,61,9860844,52,1880,29.91,-90.36
22095,"St. John the Baptist Parish","LA",42837,555086121,1061525113,58,2202482,53,3045,30.12,-90.5
22103,"St. Tammany Parish","LA",260419,2191719306,2837535267,207,10024328,52,4676,30.41,-89.95
22109,"Terrebonne Parish","LA",110461,3185236754,5392412821,112,6010442,52,1183,29.33,-90.84
23001,"Androscoggin County","ME",108277,1211956216,1287537098,77,4792086,51,181,44.17,-70.21
23005,"Cumberland County","ME",295003,2164439627,3153211935,2287,21736290,52,2782,43.81,-70.33
23019,"Penobscot County","ME",152148,8798688537,9212682810,366,6785566,52,227,45.39,-68.66
24003,"Anne Arundel County","MD",579234,1074287145,1522386740,10188,50181212,52,2603,38.99,-76.56
24005,"Baltimore County","MD",827370,1549739465,1765704131,19348,55028735,50,3286,39.44,-76.62
24013,"Carroll County","MD",168447,1159345029,1172465377,655,6584698,53,1415,39.56,-77.02
24017,"Charles County","MD",163257,1185699267,1665207319,4677,6032279,52,875,38.47,-77.02
24025,"Harford County","MD",255441,1132134727,1364037715,1867,13290305,47,241,39.54,-76.3
24031,"Montgomery County","MD",1050688,1277059775,1312879898,82610,95064444,45,2367,39.14,-77.2
24033,"Prince George's County","MD",909327,1250061702,1291979984,72946,47181860,48,3169,38.83,-76.85
24510,"Baltimore City","MD",593490,209649200,238409689,49309,52193665,53,3936,39.3,-76.61
25001,"Barnstable County","MA",212990,1021048430,3381335973,1310,14344348,53,3729,41.8,-70.21
25003,"Berkshire County","MA",124944,2400595902,2451308804,727,7675980,47,1491,42.38,-73.21
25005,"Bristol County","MA",565217,1432536921,1790010300,7549,26827307,53,6254,41.75,-71.09
25009,"Essex County","MA",789034,1275502663,2145781363,23265,48278445,49,8202,42.64,-70.87
25011,"Franklin County","MA",70180,1810978987,1876518228,682,3139629,51,808,42.58,-72.59
25013,"Hampden County","MA",466372,1597996708,1642413778,3937,23775963,53,7404,42.14,-72.64
25017,"Middlesex County","MA",1611699,2118197013,2193562472,106409,171126579,45,7778,42.48,-71.4
25021,"Norfolk County","MA",706775,1025886743,1150866087,52570,56828640,42,2167,42.17,-71.18
25023,"Plymouth County","MA",521202,1706646158,2831621442,14643,27074970,54,10916,41.99,-70.74
25025,"Suffolk County","MA",803907,150855103,311369687,137059,132808105,11,26,42.33,-71.02
25027,"Worcester County","MA",830622,3912564078,4090013138,7203,45711885,48,4267,42.31,-71.94
26017,"Bay County","MI",103126,1145397300,1633548278,247,3859251,52,210,43.7,-83.98
26029,"Charlevoix County","MI",26143,1078288789,3601219908,76,1224572,52,88,45.51,-85.45
26065,"Ingham County","MI",292406,1440364339,1452242414,4988,16422721,51,1295,42.6,-84.37
26081,"Kent County","MI",656955,2196437063,2258319798,6363,43492939,51,1474,43.03,-85.55
26099,"Macomb County","MI",873972,1241247601,1478678397,3221,40943060,52,16975,42.67,-82.91
26115,"Monroe County","MI",150500,1422800567,1761021563,253,6384733,53,1110,41.92,-83.49
26117,"Montcalm County","MI",63888,1826792558,1866738146,78,1758389,51,110,43.31,-85.15
26125,"Oakland County","MI",1257584,2246566547,2349733023,2905,112604207,49,18236,42.66,-83.38
26139,"Ottawa County","MI",291830,1459502408,4225333391,1243,14723009,54,598,42.94,-86.66
26147,"St. Clair County","MI",159128,1868189426,2166542335,516,5813217,51,629,42.93,-82.67
26161,"Washtenaw County","MI",367601,1828460768,1871063028,9532,24661984,51,4398,42.25,-83.84
26163,"Wayne County","MI",1749343,1585054265,1742401544,20033,99069943,49,41423,42.28,-83.26
27003,"Anoka County","MN",356921,1092919450,1155330623,6008,15380653,49,276,45.27,-93.24
27009,"Benton County","MN",40889,1057483355,1069770343,333,1725974,51,25,45.7,-94
27013,"Blue Earth County","MN",67653,1936734380,1982851349,514,4340014,51,152,44.04,-94.06
27019,"Carver County","MN",105089,917370948,974117165,1193,5425604,51,159,44.82,-93.8
27037,"Dakota County","MN",429021,1456708511,1519865469,7569,27833647,51,671,44.67,-93.06
27053,"Hennepin County","MN",1265843,1434458964,1571011996,49470,137015472,51,3062,45.01,-93.48
27109,"Olmsted County","MN",158293,1692581423,1696086930,4299,11590720,51,844,44,-92.41
27123,"Ramsey County","MN",550321,394246995,440511470,18565,43485967,45,439,45.02,-93.1
27129,"Renville County","MN",14548,2545744686,2556596579,18,720155,53,33,44.72,-94.96
27145,"Stearns County","MN",161075,3477861781,3599997085,1164,8854903,51,111,45.56,-94.61
27161,"Waseca County","MN",18612,1096505107,1121398822,51,851828,54,57,44.02,-93.59
27163,"Washington County","MN",262440,995612473,1095075416,2905,10780297,54,748,45.04,-92.89
27171,"Wright County","MN",138377,1712292171,1849901648,525,4571642,52,116,45.18,-93.97
28029,"Copiah County","MS",28065,2013158779,2018803559,9,678188,52,176,31.87,-90.45
28035,"Forrest County","MS",74897,1207042884,1217915800,155,4053057,51,396,31.19,-89.26
28049,"Hinds County","MS",231840,2252697076,2272147181,561,12705708,53,1682,32.27,-90.47
28083,"Leflore County","MS",28183,1538645695,1570513892,73,1220444,52,315,33.55,-90.29
28109,"Pearl River County","MS",55535,2101301898,2122080543,1,1100530,52,525,30.77,-89.59
29077,"Greene County","MO",293086,1749081115,1755701150,939,16857130,51,682,37.26,-93.34
29083,"Henry County","MO",21824,1805075851,1896712289,20,778399,52,29,38.39,-93.79
29189,"St. Louis County","MO",994205,1314228662,1354390580,12076,79627801,47,3624,38.64,-90.45
30007,"Broadwater County","MT",6237,3088195835,3206683152,0,134668,52,56,46.33,-111.5
30031,"Gallatin County","MT",114434,6746957846,6821447016,274,5822537,52,1161,45.54,-111.17
30063,"Missoula County","MT",119600,6715862288,6780448902,1361,5694748,53,270,47.03,-113.89
30093,"Silver Bow County","MT",34915,1859568273,1861086449,103,1541022,52,146,45.9,-112.66
30111,"Yellowstone County","MT",161300,6820647780,6860595544,501,9564773,52,479,45.94,-108.28
31025,"Cass County","NE",26248,1443537069,1465651785,13,929454,51,38,40.91,-96.14
31055,"Douglas County","NE",571327,845399826,878904474,3387,45906741,45,712,41.3,-96.15
31107,"Knox County","NE",8332,2870856403,2951866111,2,445967,49,45,42.63,-97.89
32003,"Clark County","NV",2266715,20439281456,20877692945,37131,122423873,44,3895,36.21,-115.01
32031,"Washoe County","NV",471519,16320597789,16941517022,3945,26477845,45,835,40.7,-119.71
32510,"Carson City","NV",55916,374672862,407257099,99,3661749,51,101,39.15,-119.74
33009,"Grafton County","NH",89886,4425249656,4531713876,572,6748078,41,215,43.93,-71.84
33011,"Hillsborough County","NH",417025,2270232096,2311511858,1940,28160159,54,2578,42.91,-71.72
33015,"Rockingham County","NH",309769,1801042594,2059681686,1377,21071476,47,1123,42.99,-71.1
34003,"Bergen County","NJ",932202,602910975,638266076,70871,73548321,44,12972,40.96,-74.07
34005,"Burlington County","NJ",445349,2070244951,2124271159,7885,28244160,48,1951,39.88,-74.66
34007,"Camden County","NJ",506471,573295201,589014475,17803,26630107,48,2149,39.8,-74.96
34013,"Essex County","NJ",798975,326557460,335195632,78513,59018323,51,28849,40.79,-74.25
34015,"Gloucester County","NJ",291636,833904538,872236726,3215,15758220,52,2035,39.72,-75.14
34017,"Hudson County","NJ",672391,119632168,161599532,145233,51575916,47,11009,40.73,-74.08
34019,"Hunterdon County","NJ",124371,1108065331,1132847852,1734,7590001,52,1728,40.57,-74.91
34021,"Mercer County","NJ",367430,581281416,592732563,13335,32093898,53,6475,40.28,-74.7
34023,"Middlesex County","NJ",825062,800871212,836330250,38458,64687010,51,20778,40.44,-74.41
34025,"Monmouth County","NJ",618795,1212563775,1723572762,25362,35826474,48,10749,40.29,-74.15
34027,"Morris County","NJ",491845,1192855212,1247142061,13991,58515215,51,12862,40.86,-74.55
34029,"Ocean County","NJ",607186,1627449879,2369414628,4487,21516075,52,18423,39.87,-74.26
34031,"Passaic County","NJ",501826,481767290,513824891,20121,23600289,48,11077,41.03,-74.3
34035,"Somerset County","NJ",328934,781816438,789825496,8944,40778240,51,6294,40.57,-74.62
34039,"Union County","NJ",556341,266160325,273216949,32780,40055247,48,12188,40.66,-74.31
35001,"Bernalillo County","NM",679121,3007639331,3023494462,5898,37865783,50,1863,35.05,-106.67
35043,"Sandoval County","NM",146748,9609141803,9619993828,452,3226655,53,859,35.69,-106.88
35049,"Santa Fe County","NM",150358,4947127762,4950504274,853,6685324,50,562,35.51,-105.97
35053,"Socorro County","NM",16637,17214061663,17218904674,16,519956,50,61,33.99,-106.94
36001,"Albany County","NY",305506,1354120790,1381245343,9504,31707107,51,3740,42.59,-73.97
36005,"Bronx County","NY",1418207,108908944,148597498,346240,49347608,47,65432,40.85,-73.85
36007,"Broome County","NY",190488,1828055107,1853172585,2803,10014469,51,558,42.16,-75.83
36025,"Delaware County","NY",44135,3735851364,3800670053,235,1940909,51,230,42.19,-74.97
36027,"Dutchess County","NY",294218,2060717226,2137634475,7956,14038485,51,7736,41.76,-73.74
36029,"Erie County","NY",918702,2700643194,3177539597,16600,58987645,53,10201,42.75,-78.78
36039,"Greene County","NY",47188,1676140493,1704341554,224,2360207,54,290,42.29,-74.15
36043,"Herkimer County","NY",61319,3655807440,3776227961,291,1986427,51,193,43.46,-74.89
36047,"Kings County","NY",2559903,179671325,250770298,729737,105937975,44,61944,40.64,-73.95
36055,"Monroe County","NY",741770,1701292247,3539746524,10773,49392931,51,4592,43.46,-77.66
36057,"Montgomery County","NY",49221,1044066971,1062666159,196,2002191,54,190,42.9,-74.44
36059,"Nassau County","NY",1356924,737085188,1174471823,113180,93325206,44,41522,40.73,-73.59
36061,"New York County","NY",1628706,58680498,87232205,521777,711974400,41,25153,40.78,-73.97
36071,"Orange County","NY",384940,2103901761,2171992497,9518,17471690,51,24500,41.4,-74.31
36079,"Putnam County","NY",98320,596526069,637786999,4057,3510354,54,3918,41.43,-73.74
36081,"Queens County","NY",2253858,281734474,461099393,563428,108755409,46,100895,40.66,-73.84
36085,"Richmond County","NY",476143,148972685,264925338,61905,17002204,48,24719,40.56,-74.14
36087,"Rockland County","NY",325789,449197039,516061292,12380,21469873,46,18685,41.15,-74.02
36091,"Saratoga County","NY",229863,2097879149,2185452212,932,11564651,46,1008,43.11,-73.86
36093,"Schenectady County","NY",155299,529858774,542456655,2876,8365412,52,1544,42.82,-74.04
36103,"Suffolk County","NY",1476601,2361492153,6146393884,46736,92983255,47,52388,40.94,-72.69
36107,"Tioga County","NY",48203,1343194501,1354252503,136,1936678,53,98,42.18,-76.3
36109,"Tompkins County","NY",102180,1229314961,1273102632,3141,6230181,53,1053,42.45,-76.47
36111,"Ulster County","NY",177573,2911757798,3006354744,2094,7171697,47,1581,41.95,-74.27
36119,"Westchester County","NY",967506,1115165961,1294976213,106155,84822522,42,39962,41.15,-73.75
37019,"Brunswick County","NC",142820,2199384967,2718303079,237,4175010,53,277,34.04,-78.23
37025,"Cabarrus County","NC",216453,935602088,942608779,776,7277356,50,496,35.39,-80.55
37037,"Chatham County","NC",74470,1765640373,1836275208,221,1584337,45,111,35.7,-79.25
37049,"Craven County","NC",102139,1830077186,2002792198,77,4912535,53,152,35.12,-77.08
37063,"Durham County","NC",321488,741907726,771461349,5209,40416632,50,1726,36.04,-78.88
