Rank,RO,ST,Locid,city,Airport Name,S/L,Hub,CY 18 Enplanements,CY 17 Enplanements,% Change
1837,NM,CO,HEQ,Holyoke,Holyoke,GA,None,1,0,0.00%
53,NE,CT,BDL,Windsor Locks,Bradley International,P,M,"3,278,035","3,164,647",3.58%
299,NE,CT,HVN,New Haven,Tweed-New Haven,P,N,"38,991","28,669",36.00%
681,NE,CT,DXR,Danbury,Danbury Municipal,GA,None,742,885,-16.16%
771,NE,CT,BDR,Bridgeport,Igor I Sikorsky Memorial,GA,None,277,124,123.39%
796,NE,CT,GON,Groton,Groton-New London,GA,None,236,32,637.50%
798,NE,CT,OXC,Oxford,Waterbury-Oxford,GA,None,233,132,76.52%
1016,NE,CT,HFD,Hartford,Hartford-Brainard,GA,None,59,22,168.18%
1580,NE,CT,IJD,Willimantic,Windham,GA,None,5,0,0.00%
1596,NE,CT,SNC,Chester,Chester,GA,None,5,2,150.00%
688,EA,DE,ILG,Wilmington,New Castle,GA,None,703,434,61.98%
759,EA,DE,DOV,Dover,Dover AFB,GA,None,327,792,-58.71%
913,EA,DE,GED,Georgetown,Delaware Coastal,GA,None,100,9,1011.11%
1391,EA,DE,EVY,Middletown,Summit,GA,None,12,0,0.00%
10,SO,FL,MCO,Orlando,Orlando International,P,L,"23,202,480","21,565,448",7.59%
15,SO,FL,MIA,Miami,Miami International,P,L,"21,021,640","20,709,225",1.51%
18,SO,FL,FLL,Fort Lauderdale,Fort Lauderdale/Hollywood International,P,L,"17,612,331","15,817,043",11.35%
28,SO,FL,TPA,Tampa,Tampa International,P,L,"10,368,514","9,548,580",8.59%
47,SO,FL,RSW,Fort Myers,Southwest Florida International,P,M,"4,602,113","4,364,224",5.45%
54,SO,FL,PBI,West Palm Beach,Palm Beach International,P,M,"3,270,605","3,110,450",5.15%
55,SO,FL,JAX,Jacksonville,Jacksonville International,P,M,"3,135,508","2,701,861",16.05%
79,SO,FL,SFB,Sanford,Orlando Sanford International,P,S,"1,504,888","1,434,990",4.87%
90,SO,FL,PIE,Clearwater,St Pete-Clearwater International,P,S,"1,115,886","1,023,471",9.03%
95,SO,FL,PNS,Pensacola,Pensacola International,P,S,"972,081","839,248",15.83%
104,SO,FL,PGD,Punta Gorda,Punta Gorda,P,S,"787,022","643,563",22.29%
107,SO,FL,SRQ,Sarasota,Sarasota/Bradenton International,P,S,"685,001","590,941",15.92%
108,SO,FL,VPS,Valparaiso,Eglin AFB/Destin-Ft Walton Beach,P,S,"683,759","567,633",20.46%
125,SO,FL,ECP,Panama City,Northwest Florida Beaches International,P,S,"512,423","454,712",12.69%
132,SO,FL,EYW,Key West,Key West International,P,N,"446,005","392,381",13.67%
143,SO,FL,TLH,Tallahassee,Tallahassee International,P,N,"384,136","350,174",9.70%
148,SO,FL,DAB,Daytona Beach,Daytona Beach International,P,N,"366,967","346,470",5.92%
177,SO,FL,MLB,Melbourne,Melbourne International,P,N,"234,939","221,928",5.86%
178,SO,FL,GNV,Gainesville,Gainesville Regional,P,N,"233,955","218,578",7.04%
410,SO,FL,VRB,Vero Beach,Vero Beach Regional,P,N,"10,314","9,110",13.22%
389,SO,FL,NIP,Jacksonville,Jacksonville NAS (Towers Field),GA,None,"11,958","14,305",-16.41%
560,SO,FL,HRT,Mary Esther,Hurlburt Field,GA,None,"2,537","1,886",34.52%
577,SO,FL,APF,Naples,Naples Municipal,GA,None,"2,212",505,338.02%
580,SO,FL,SGJ,Saint Augustine,Northeast Florida Regional,GA,None,"2,180","11,431",-80.93%
622,SO,FL,OPF,Miami,Miami-Opa Locka Executive,GA,None,"1,397",828,68.72%
627,SO,FL,BCT,Boca Raton,Boca Raton,GA,None,"1,338",246,443.90%
640,SO,FL,FXE,Fort Lauderdale,Fort Lauderdale Executive,GA,None,"1,184",490,141.63%
676,SO,FL,SUA,Stuart,Witham Field,GA,None,826,81,919.75%
693,SO,FL,ORL,Orlando,Executive,GA,None,667,175,281.14%
703,SO,FL,NQX,Key West,Key West NAS /Boca Chica Field/,GA,None,609,662,-8.01%
711,SO,FL,COF,Cocoa Beach,Patrick AFB,GA,None,554,476,16.39%
722,SO,FL,ISM,Kissimmee,Kissimmee Gateway,GA,None,497,35,1320.00%
731,SO,FL,LAL,Lakeland,Lakeland Linder International,GA,None,464,239,94.14%
758,SO,FL,TMB,Miami,Miami Executive,GA,None,331,119,178.15%
804,SO,FL,DTS,Destin,Destin Executive,GA,None,218,58,275.86%
815,SO,FL,FMY,Fort Myers,Page Field,GA,None,203,65,212.31%
818,SO,FL,PAM,Panama City,Tyndall AFB,GA,None,198,968,-79.55%
847,SO,FL,07FA,Key Largo,Ocean Reef Club,GA,None,157,9,1644.44%
850,SO,FL,OCF,Ocala,Ocala International-Jim Taylor Field,GA,None,149,16,831.25%
864,SO,FL,CRG,Jacksonville,Jacksonville Executive at Craig,GA,None,128,0,0.00%
869,SO,FL,MKY,Marco Island,Marco Island Executive,GA,None,126,0,0.00%
877,SO,FL,VNC,Venice,Venice Municipal,GA,None,122,23,430.43%
878,SO,FL,FHB,Fernandina Beach,Fernandina Beach Municipal,GA,None,121,4,2925.00%
879,SO,FL,MTH,Marathon,The Florida Keys Marathon International,GA,None,121,12,908.33%
889,SO,FL,FPR,Fort Pierce,Treasure Coast International,GA,None,114,73,56.16%
914,SO,FL,LEE,Leesburg,Leesburg International,GA,None,100,13,669.23%
1005,SO,FL,TIX,Titusville,Space Coast Regional,GA,None,62,2,3000.00%
1057,SO,FL,FIN,Bunnell,Flagler Executive,GA,None,49,2,2350.00%
1098,SO,FL,MCF,Tampa,MacDill AFB,GA,None,41,268,-84.70%
1100,SO,FL,VDF,Tampa,Tampa Executive,GA,None,41,3,1266.67%
1176,SO,FL,OBE,Okeechobee,Okeechobee County,GA,None,29,0,0.00%
1223,SO,FL,GIF,Winter Haven,Winter Haven Regional,GA,None,24,5,380.00%
1261,SO,FL,EVB,New Smyrna Beach,New Smyrna Beach Municipal,GA,None,21,0,0.00%
1272,SO,FL,FA54,Placida,Coral Creek,GA,None,20,1,1900.00%
1279,SO,FL,VQQ,Jacksonville,Cecil,GA,None,20,0,0.00%
1297,SO,FL,SEF,Sebring,Sebring Regional,GA,None,19,0,0.00%
1304,SO,FL,DED,DeLand,DeLand Municipal-Sidney H Taylor Field,GA,None,18,0,0.00%
1313,SO,FL,BOW,Bartow,Bartow Executive,GA,None,17,4,325.00%
1366,SO,FL,PMP,Pompano Beach,Pompano Beach Airpark,GA,None,14,0,0.00%
1404,SO,FL,BKV,Brooksville,Brooksville-Tampa Bay Regional,GA,None,11,9,22.22%
1407,SO,FL,CGC,Crystal River,Crystal River-Captain Tom Davis Field,GA,None,11,0,0.00%
1465,SO,FL,ZPH,Zephyrhills,Zephyrhills Municipal,GA,None,9,0,0.00%
1503,SO,FL,INF,Inverness,Inverness,GA,None,7,0,0.00%
1723,SO,FL,17FL,Ocala,Jumbolair,GA,None,2,0,0.00%
1733,SO,FL,AAF,Apalachicola,Apalachicola Regional-Cleve Randolph Field,GA,None,2,0,0.00%
1767,SO,FL,LCQ,Lake City,Lake City Gateway,GA,None,2,2,0.00%
1774,SO,FL,MAI,Marianna,Marianna Municipal,GA,None,2,0,0.00%
1,SO,GA,ATL,Atlanta,Hartsfield - Jackson Atlanta International,P,L,"51,865,797","50,251,964",3.21%
83,SO,GA,SAV,Savannah,Savannah/Hilton Head International,P,S,"1,356,660","1,192,340",13.78%
166,SO,GA,AGS,Augusta,Augusta Regional at Bush Field,P,N,"300,598","288,834",4.07%
279,SO,GA,CSG,Columbus,Columbus,P,N,"49,354","49,773",-0.84%
289,SO,GA,VLD,Valdosta,Valdosta Regional,P,N,"44,609","43,738",1.99%
295,SO,GA,BQK,Brunswick,Brunswick Golden Isles,P,N,"40,443","36,433",11.01%
297,SO,GA,ABY,Albany,Southwest Georgia Regional,P,N,"39,422","37,920",3.96%
370,SO,GA,MCN,Macon,Middle Georgia Regional,P,N,"15,431","4,857",217.71%
454,SO,GA,SVN,Savannah,Hunter AAF,GA,None,"5,928","10,591",-44.03%
462,SO,GA,PDK,Atlanta,Dekalb-Peachtree,GA,None,"5,601","3,259",71.86%
603,SO,GA,FTY,Atlanta,Fulton County Airport-Brown Field,GA,None,"1,767",33,5254.55%
626,SO,GA,AHN,Athens,Athens/Ben Epps,GA,None,"1,342","1,161",15.59%
632,SO,GA,LSF,Fort Benning (U.S. Army),Lawson AAF (Fort Benning),GA,None,"1,275",701,81.88%
651,SO,GA,VAD,Valdosta,Moody AFB,GA,None,"1,072",522,105.36%
701,SO,GA,SSI,Brunswick,St Simons Island,GA,None,626,67,834.33%
702,SO,GA,WRB,Warner Robins,Robins AFB,GA,None,623,799,-22.03%
766,SO,GA,MGE,Marietta,Dobbins Air Reserve Base,GA,None,304,468,-35.04%
806,SO,GA,FFC,Peachtree City,Atlanta Regional Falcon Field,GA,None,216,12,1700.00%
843,SO,GA,RYY,Marietta,Cobb County International-McCollum Field,GA,None,164,2,8100.00%
868,SO,GA,LZU,Lawrenceville,Gwinnett County - Briscoe Field,GA,None,126,2,6200.00%
897,SO,GA,GVL,Gainesville,Lee Gilmer Memorial,GA,None,109,0,0.00%
949,SO,GA,TVI,Thomasville,Thomasville Regional,GA,None,82,17,382.35%
989,SO,GA,WDR,Winder,Barrow County,GA,None,68,0,0.00%
1000,SO,GA,OPN,Thomaston,Thomaston-Upson County,GA,None,64,0,0.00%
1056,SO,GA,3J7,Greensboro,Greene County Regional,GA,None,49,2,2350.00%
1088,SO,GA,DNL,Augusta,Daniel Field,GA,None,43,8,437.50%
1120,SO,GA,VPC,Cartersville,Cartersville,GA,None,38,0,0.00%
1123,SO,GA,RMG,Rome,Richard B Russell Regional - J H Towers Field,GA,None,37,5,640.00%
1127,SO,GA,MGR,Moultrie,Moultrie Municipal,GA,None,36,0,0.00%
1164,SO,GA,ACJ,Americus,Jimmy Carter Regional,GA,None,30,0,0.00%
1175,SO,GA,LGC,La Grange,La Grange-Callaway,GA,None,29,1,2800.00%
1184,SO,GA,CKF,Cordele,Crisp County-Cordele,GA,None,27,0,0.00%
1220,SO,GA,BGE,Bainbridge,Decatur County Industrial Air Park,GA,None,24,5,380.00%
1247,SO,GA,HMP,Hampton,Henry County Airport,GA,None,22,0,0.00%
1258,SO,GA,DBN,Dublin,W H 'Bud' Barron,GA,None,21,0,0.00%
1259,SO,GA,DNN,Dalton,Dalton Municipal,GA,None,21,0,0.00%
1278,SO,GA,TOC,Toccoa,Toccoa - R G LeTourneau Field,GA,None,20,0,0.00%
1323,SO,GA,CXU,Camilla,Camilla-Mitchell County,GA,None,16,0,0.00%
1344,SO,GA,JCA,Jefferson,Jackson County,GA,None,15,0,0.00%
1390,SO,GA,CNI,Canton,Cherokee County,GA,None,12,0,0.00%
1415,SO,GA,MLJ,Milledgeville,Baldwin County Regional,GA,None,11,0,0.00%
1429,SO,GA,HQU,Thomson,Thomson-McDuffie County,GA,None,10,0,0.00%
1445,SO,GA,CCO,Newnan,Newnan Coweta County,GA,None,9,0,0.00%
1448,SO,GA,DQH,Douglas,Douglas Municipal,GA,None,9,0,0.00%
1449,SO,GA,DZJ,Blairsville,Blairsville,GA,None,9,0,0.00%
1464,SO,GA,VDI,Vidalia,Vidalia Regional,GA,None,9,0,0.00%
1485,SO,GA,SBO,Swainsboro,East Georgia Regional,GA,None,8,0,0.00%
1489,SO,GA,TBR,Statesboro,Statesboro-Bulloch County,GA,None,8,0,0.00%
1490,SO,GA,TMA,Tifton,Henry Tift Myers,GA,None,8,0,0.00%
1505,SO,GA,JZP,Jasper,Pickens County,GA,None,7,0,0.00%
1527,SO,GA,CTJ,Carrollton,West Georgia Regional - O V Gray Field,GA,None,6,0,0.00%
1698,SO,GA,MAC,Macon,Macon Downtown,GA,None,3,0,0.00%
1707,SO,GA,PUJ,Dallas,Paulding Northwest Atlanta,GA,None,3,2,50.00%
1708,SO,GA,PXE,Perry,Perry-Houston County,GA,None,3,0,0.00%
1737,SO,GA,AJR,Cornelia,Habersham County,GA,None,2,0,0.00%
75,WP,GU,GUM,Tamuning,Guam International,P,S,"1,736,131","1,566,429",10.83%
576,WP,GU,UAM,"Andersen,Mariana Island",Andersen AFB,GA,None,"2,225","1,368",62.65%
29,WP,HI,HNL,Honolulu,Daniel K Inouye International,P,L,"10,017,149","9,743,989",2.80%
51,WP,HI,OGG,Kahului,Kahului,P,M,"3,571,660","3,442,189",3.76%
73,WP,HI,KOA,Kailua Kona,Ellison Onizuka Kona International at Keahole,P,S,"1,829,020","1,764,995",3.63%
76,WP,HI,LIH,Lihue,Lihue,P,S,"1,644,590","1,535,075",7.13%
115,WP,HI,ITO,Hilo,Hilo International,P,S,"599,148","664,790",-9.87%
250,WP,HI,MKK,Kaunakakai,Molokai,P,N,"79,336","84,139",-5.71%
294,WP,HI,LNY,Lanai City,Lanai,P,N,"42,061","37,993",10.71%
284,WP,HI,JHM,Lahaina,Kapalua,GA,None,"46,574","35,760",30.24%
496,WP,HI,MUE,Kamuela,Waimea-Kohala,CS,None,"4,068","4,407",-7.69%
525,WP,HI,LUP,Kalaupapa,Kalaupapa,CS,None,"3,256","5,598",-41.84%
551,WP,HI,HNM,Hana,Hana,CS,None,"2,676","2,967",-9.81%
670,WP,HI,NGF,Kaneohe,Kaneohe Bay MCAS (Marion E Carl Field),GA,None,888,0,0.00%
1540,WP,HI,JRF,Kapolei,Kalaeloa (John Rodgers Field),GA,None,6,0,0.00%
84,CE,IA,DSM,Des Moines,Des Moines International,P,S,"1,347,876","1,257,521",7.19%
114,CE,IA,CID,Cedar Rapids,The Eastern Iowa,P,S,"602,058","574,636",4.77%
288,CE,IA,SUX,Sioux City,Sioux Gateway/Brig Gen Bud Day Field,P,N,"44,779","41,787",7.16%
300,CE,IA,DBQ,Dubuque,Dubuque Regional,P,N,"38,831","40,324",-3.70%
333,CE,IA,ALO,Waterloo,Waterloo Regional,P,N,"23,892","27,358",-12.67%
421,CE,IA,BRL,Burlington,Southeast Iowa Regional,CS,None,"8,513","7,759",9.72%
423,CE,IA,FOD,Fort Dodge,Fort Dodge Regional,CS,None,"8,359","7,140",17.07%
424,CE,IA,MCW,Mason City,Mason City Municipal,CS,None,"8,278","7,502",10.34%
705,CE,IA,AMW,Ames,Ames Municipal,GA,None,583,607,-3.95%
895,CE,IA,CIN,Carroll,Arthur N Neu,GA,None,110,300,-63.33%
991,CE,IA,IKV,Ankeny,Ankeny Regional,GA,None,67,105,-36.19%
1015,CE,IA,DVN,Davenport,Davenport Municipal,GA,None,59,0,0.00%
1033,CE,IA,IOW,Iowa City,Iowa City Municipal,GA,None,54,"1,559",-96.54%
1091,CE,IA,PEA,Pella,Pella Municipal,GA,None,43,5,760.00%
1112,CE,IA,SPW,Spencer,Spencer Municipal,GA,None,39,41,-4.88%
1213,CE,IA,OTM,Ottumwa,Ottumwa Regional,GA,None,25,0,0.00%
1236,CE,IA,MUT,Muscatine,Muscatine Municipal,GA,None,23,0,0.00%
1376,CE,IA,GGI,Grinnell,Grinnell Regional,GA,None,13,1,1200.00%
1547,CE,IA,OLZ,Oelwein,Oelwein Municipal,GA,None,6,0,0.00%
1572,CE,IA,EOK,Keokuk,Keokuk Municipal,GA,None,5,0,0.00%
1686,CE,IA,FFL,Fairfield,Fairfield Municipal,GA,None,3,0,0.00%
1714,CE,IA,SHL,Sheldon,Sheldon Regional,GA,None,3,0,0.00%
1762,CE,IA,ICL,Clarinda,Schenck Field,GA,None,2,0,0.00%
1793,CE,IA,SDA,Shenandoah,Shenandoah Municipal,GA,None,2,0,0.00%
1796,CE,IA,TNU,Newton,Newton Municipal-Earl Johnson Field,GA,None,2,0,0.00%
1826,CE,IA,CWI,Clinton,Clinton Municipal,GA,None,1,0,0.00%
1839,CE,IA,HNR,Harlan,Harlan Municipal,GA,None,1,0,0.00%
1856,CE,IA,OOA,Oskaloosa,Oskaloosa Municipal,GA,None,1,0,0.00%
68,NM,ID,BOI,Boise,Boise Air Terminal/Gowen Field,P,S,"1,943,181","1,777,642",9.31%
197,NM,ID,IDA,Idaho Falls,Idaho Falls Regional,P,N,"161,019","147,729",9.00%
240,NM,ID,SUN,Hailey,Friedman Memorial,P,N,"93,280","86,641",7.66%
268,NM,ID,LWS,Lewiston,Lewiston-Nez Perce County,P,N,"57,957","76,729",-24.47%
282,NM,ID,TWF,Twin Falls,Joslin Field - Magic Valley Regional,P,N,"47,084","45,736",2.95%
286,NM,ID,PIH,Arbon Valley,Pocatello Regional,P,N,"46,303","40,188",15.22%
527,NM,ID,MLD,Malad City,Malad City,GA,None,"3,250",0,0.00%
641,NM,ID,MUO,Mountain Home,Mountain Home AFB,GA,None,"1,165",376,209.84%
779,NM,ID,SMN,Salmon,Lemhi County,GA,None,264,163,61.96%
812,NM,ID,COE,Hayden Lake,Coeur D'Alene - Pappy Boyington Field,GA,None,204,31,558.06%
856,NM,ID,65S,Bonners Ferry,Boundary County,GA,None,141,82,71.95%
865,NM,ID,DIJ,Driggs,Driggs-Reed Memorial,GA,None,128,11,1063.64%
1003,NM,ID,MYL,McCall,McCall Municipal,GA,None,63,0,0.00%
1074,NM,ID,SZT,Sandpoint,Sandpoint,GA,None,46,3,1433.33%
1264,NM,ID,GIC,Grangeville,Idaho County,GA,None,21,16,31.25%
1573,NM,ID,EUL,Caldwell,Caldwell Industrial,GA,None,5,0,0.00%
1637,NM,ID,MAN,Nampa,Nampa Municipal,GA,None,4,0,0.00%
1863,NM,ID,S72,Saint Maries,St Maries Municipal,GA,None,1,4,-75.00%
1864,NM,ID,S83,Kellogg,Shoshone County,GA,None,1,0,0.00%
3,GL,IL,ORD,Chicago,Chicago O'Hare International,P,L,"39,873,927","38,593,028",3.32%
27,GL,IL,MDW,Chicago,Chicago Midway International,P,L,"10,678,018","10,912,074",-2.14%
153,GL,IL,MLI,Moline,Quad City International,P,N,"355,241","335,940",5.75%
161,GL,IL,PIA,Peoria,General Downing - Peoria International,P,N,"328,769","312,378",5.25%
192,GL,IL,BMI,Bloomington,Central IL Regional Airport at Bloomington-Normal,P,N,"178,057","163,475",8.92%
204,GL,IL,BLV,Belleville,Scott AFB/Midamerica,P,N,"152,278","123,841",22.96%
228,GL,IL,CMI,Savoy,University of Illinois-Willard,P,N,"109,878","100,133",9.73%
230,GL,IL,RFD,Rockford,Chicago/Rockford International,P,N,"106,710","112,862",-5.45%
253,GL,IL,SPI,Springfield,Abraham Lincoln Capital,P,N,"76,950","92,048",-16.40%
393,GL,IL,UIN,Quincy,Quincy Regional-Baldwin Field,P,N,"11,633","7,709",50.90%
399,GL,IL,MWA,Marion,Veterans Airport of Southern Illinois,P,N,"11,078","11,029",0.44%
416,GL,IL,DEC,Decatur,Decatur,CS,None,"9,519","8,324",14.36%
537,GL,IL,CPS,Cahokia,St Louis Downtown,GA,None,"3,006","4,303",-30.14%
541,GL,IL,PWK,Wheeling,Chicago Executive,GA,None,"2,902","1,394",108.18%
690,GL,IL,DPA,DuPage (County),Dupage,GA,None,691,255,170.98%
736,GL,IL,UGN,Waukegan,Waukegan National,GA,None,442,59,649.15%
859,GL,IL,MDH,Carbondale,Southern Illinois,GA,None,137,24,470.83%
963,GL,IL,MQB,Macomb,Macomb Municipal,GA,None,75,100,-25.00%
976,GL,IL,LOT,Romeo (RR name for Romeoville),Lewis University,GA,None,72,31,132.26%
979,GL,IL,RSV,Robinson,Crawford Co,GA,None,71,92,-22.83%
1036,GL,IL,VYS,Peru,Illinois Valley Regional-Walter A Duncan Field,GA,None,54,0,0.00%
1050,GL,IL,I63,Mount Sterling,Mount Sterling Municipal,GA,None,50,59,-15.25%
1140,GL,IL,DKB,De Kalb,De Kalb Taylor Municipal,GA,None,34,29,17.24%
1143,GL,IL,HSB,Harrisburg,Harrisburg-Raleigh,GA,None,34,0,0.00%
1183,GL,IL,ARR,Aurora,Aurora Municipal,GA,None,27,8,237.50%
1191,GL,IL,ALN,Alton,St Louis Regional,GA,None,26,0,0.00%
1316,GL,IL,LWV,Lawrenceville,Lawrenceville-Vincennes International,GA,None,17,0,0.00%
1438,GL,IL,1H2,Effingham,Effingham County Memorial,GA,None,9,0,0.00%
1447,GL,IL,DNV,Danville,Vermilion Regional,GA,None,9,0,0.00%
1451,GL,IL,GBG,Galesburg,Galesburg Municipal,GA,None,9,250,-96.40%
1543,GL,IL,MTO,Mattoon,Coles County Memorial,GA,None,6,172,-96.51%
1544,GL,IL,MVN,Mount Vernon,Mount Vernon,GA,None,6,0,0.00%
1630,GL,IL,IKK,Kankakee,Greater Kankakee,GA,None,4,12,-66.67%
1695,GL,IL,IJX,Jacksonville,Jacksonville Municipal,GA,None,3,0,0.00%
1752,GL,IL,ENL,Centralia,Centralia Municipal,GA,None,2,0,0.00%
1794,GL,IL,SQI,Sterling,Whiteside County-Jos H Bittorf Field,GA,None,2,0,0.00%
1865,GL,IL,SAR,Sparta,Sparta Community-Hunter Field,GA,None,1,0,0.00%
46,GL,IN,IND,Indianapolis,Indianapolis International,P,M,"4,655,847","4,343,722",7.19%
146,GL,IN,FWA,Fort Wayne,Fort Wayne International,P,N,"372,030","359,658",3.44%
149,GL,IN,SBN,South Bend,South Bend International,P,N,"366,617","307,471",19.24%
179,GL,IN,EVV,Evansville,Evansville Regional,P,N,"228,850","213,205",7.34%
500,GL,IN,LAF,Lafayette,Purdue University,GA,None,"3,968","3,778",5.03%
574,GL,IN,BMG,Bloomington,Monroe County,GA,None,"2,278","2,566",-11.22%
726,GL,IN,HUF,Terre Haute,Terre Haute Regional,GA,None,475,377,25.99%
740,GL,IN,GYY,Gary,Gary/Chicago International,GA,None,428,909,-52.92%
764,GL,IN,EKM,Elkhart,Elkhart Municipal,GA,None,309,12,2475.00%
801,GL,IN,JVY,Jeffersonville,Clark Regional,GA,None,224,0,0.00%
835,GL,IN,MQJ,McCordsville,Indianapolis Regional,GA,None,176,31,467.74%
872,GL,IN,MIE,Muncie,Delaware County Regional,GA,None,125,188,-33.51%
887,GL,IN,VPZ,Valparaiso,Porter County Regional,GA,None,116,0,0.00%
909,GL,IN,TYQ,Zionsville,Indianapolis Executive,GA,None,104,13,700.00%
930,GL,IN,IMS,Madison,Madison Municipal,GA,None,90,0,0.00%
981,GL,IN,HNB,Huntingburg,Huntingburg,GA,None,70,59,18.64%
1107,GL,IN,GSH,Goshen,Goshen Municipal,GA,None,39,0,0.00%
1126,GL,IN,EYE,Indianapolis,Eagle Creek Airpark,GA,None,36,0,0.00%
1141,GL,IN,GPC,Greencastle,Putnam County Regional,GA,None,34,0,0.00%
1178,GL,IN,GWB,Auburn,De Kalb County,GA,None,28,0,0.00%
1192,GL,IN,ASW,Warsaw,Warsaw Municipal,GA,None,26,9,188.89%
1225,GL,IN,HFY,Greenwood,Indy South Greenwood,GA,None,24,0,0.00%
1234,GL,IN,GEZ,Shelbyville,Shelbyville Municipal,GA,None,23,0,0.00%
1360,GL,IN,FRH,French Lick,French Lick Municipal,GA,None,14,5,180.00%
1367,GL,IN,RCR,Rochester,Fulton County,GA,None,14,0,0.00%
1433,GL,IN,MZZ,Marion,Marion Municipal,GA,None,10,7,42.86%
1434,GL,IN,RID,Richmond,Richmond Municipal,GA,None,10,0,0.00%
1455,GL,IN,PPO,La Porte,La Porte Municipal,GA,None,9,0,0.00%
1516,GL,IN,SER,Seymour,Freeman Municipal,GA,None,7,0,0.00%
1541,GL,IN,MGC,Michigan City,Michigan City Municipal-Phillips Field,GA,None,6,0,0.00%
1563,GL,IN,AID,Anderson,Anderson Municipal-Darlington Field,GA,None,5,0,0.00%
1564,GL,IN,BAK,Columbus,Columbus Municipal,GA,None,5,0,0.00%
1567,GL,IN,CFJ,Crawfordsville,Crawfordsville Regional,GA,None,5,0,0.00%
1655,GL,IN,UMP,Fishers,Indianapolis Metropolitan,GA,None,4,0,0.00%
1838,GL,IN,HLB,Batesville,Batesville,GA,None,1,0,0.00%
101,CE,KS,ICT,Wichita,Wichita Dwight D Eisenhower National,P,S,"812,252","789,533",2.88%
256,CE,KS,MHK,Manhattan,Manhattan Regional,P,N,"72,883","68,791",5.95%
326,CE,KS,GCK,Garden City,Garden City Regional,P,N,"25,243","26,687",-5.41%
368,CE,KS,SLN,Salina,Salina Regional,P,N,"15,977","13,850",15.36%
388,CE,KS,HYS,Hays,Hays Regional,P,N,"11,996","9,460",26.81%
429,CE,KS,LBL,Liberal,Liberal Mid-America Regional,CS,None,"7,985",994,703.32%
504,CE,KS,DDC,Dodge City,Dodge City Regional,CS,None,"3,831","1,003",281.95%
539,CE,KS,FOE,Topeka,Topeka Regional,CS,None,"2,965","4,901",-39.50%
793,CE,KS,IXD,Olathe,New Century Aircenter,GA,None,243,190,27.89%
827,CE,KS,LWC,Lawrence,Lawrence Municipal,GA,None,183,59,210.17%
1063,CE,KS,AAO,Wichita,Colonel James Jabara,GA,None,48,18,166.67%
1089,CE,KS,EWK,Newton,Newton-City-County,GA,None,43,0,0.00%
1103,CE,KS,HUT,Hutchinson,Hutchinson Regional,GA,None,40,0,0.00%
1151,CE,KS,GBD,Great Bend,Great Bend Municipal,GA,None,33,0,0.00%
1196,CE,KS,OJC,Olathe,Johnson County Executive,GA,None,26,0,0.00%
1296,CE,KS,PTS,Pittsburg,Atkinson Municipal,GA,None,19,4,375.00%
1351,CE,KS,TOP,Topeka,Philip Billard Municipal,GA,None,15,0,0.00%
1371,CE,KS,TQK,Scott City,Scott City Municipal,GA,None,14,0,0.00%
1403,CE,KS,WLD,Winfield,Strother Field,GA,None,12,0,0.00%
1431,CE,KS,IDP,Independence,Independence Municipal,GA,None,10,0,0.00%
1514,CE,KS,PTT,Pratt,Pratt Regional,GA,None,7,0,0.00%
1571,CE,KS,EMP,Emporia,Emporia Municipal,GA,None,5,0,0.00%
1576,CE,KS,GLD,Goodland,Renner Field /Goodland Municipal/,GA,None,5,0,0.00%
1600,CE,KS,UKL,Burlington,Coffey County,GA,None,5,0,0.00%
1627,CE,KS,HRU,Morris (County),Herington Regional,GA,None,4,0,0.00%
1647,CE,KS,PPF,Parsons,Tri-City,GA,None,4,0,0.00%
1701,CE,KS,MPR,McPherson,McPherson,GA,None,3,1,200.00%
1712,CE,KS,RSL,Russell,Russell Municipal,GA,None,3,0,0.00%
1783,CE,KS,OWI,Ottawa,Ottawa Municipal,GA,None,2,0,0.00%
48,SO,KY,CVG,Greater Cincinnati,Cincinnati/Northern Kentucky International,P,M,"4,269,258","3,791,989",12.59%
70,SO,KY,SDF,Louisville,Louisville Muhammad Ali International,P,S,"1,877,861","1,684,738",11.46%
111,SO,KY,LEX,Lexington,Blue Grass,P,S,"657,018","637,301",3.09%
347,SO,KY,PAH,Paducah,Barkley Regional,P,N,"20,934","20,910",0.11%
349,SO,KY,OWB,Owensboro,Owensboro-Daviess County Regional,P,N,"19,532","19,578",-0.23%
453,SO,KY,HOP,Fort Campbell,Campbell AAF (Fort Campbell),GA,None,"5,944","1,740",241.61%
638,SO,KY,BWG,Bowling Green,Bowling Green-Warren County Regional,GA,None,"1,210","1,778",-31.95%
1041,SO,KY,EKX,Elizabethtown,Addington Field,GA,None,52,0,0.00%
1078,SO,KY,LOZ,London,London-Corbin Airport-Magee Field,GA,None,45,16,181.25%
1105,SO,KY,FFT,Frankfort,Capital City,GA,None,39,1,3800.00%
1171,SO,KY,27K,Georgetown,Georgetown-Scott County Regional,GA,None,29,2,1350.00%
1177,SO,KY,SME,Somerset,Lake Cumberland Regional,GA,None,29,0,0.00%
1194,SO,KY,EHR,Henderson,Henderson City-County,GA,None,26,15,73.33%
1335,SO,KY,FGX,Flemingsburg,Fleming-Mason,GA,None,15,0,0.00%
1379,SO,KY,LOU,Louisville,Bowman Field,GA,None,13,0,0.00%
1406,SO,KY,CEY,Murray,Kyle-Oakley Field,GA,None,11,2,450.00%
